인증명,업소명,주소,연락처,인증유형,인증 등급,인증시작날짜,인증만료날짜
한국관광 품질인증,주식회사 플랫폼,서울특별시 종로구 삼청로 78 (화동),02-737-4628,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,청하고려인삼(주),서울특별시 종로구 자하문로 280 (부암동),02-395-1688,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,미라이(MIRAI),서울특별시 강남구 삼성로 716 (청담동),02-517-1478,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,주식회사 플랫폼,서울특별시 강남구 논현로175길 94 (신사동),02-543-4628,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,주식회사남문,강원도 춘천시 남산면 남이섬길 1,031-580-8125,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,세란안경,서울특별시 중구 을지로 30 (소공동),02-777-6789,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,주식회사 플랫폼,서울특별시 용산구 이태원로 268 (한남동),02-7974-4628,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,브릿지안경,서울특별시 강남구 압구정로 132 (신사동),02-543-6846,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,에이치(H)모텔,전라북도 군산시 죽성로 33-5 (장미동),063-442-8941,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,녹천호텔,부산광역시 동래구 금강공원로26번길 31 (온천동),051-553-1005,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,하운드호텔(HOUND HOTEL),부산광역시 중구 보수대로 24 (부평동2가),051-254-0702,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,더스팟,광주광역시 북구 앰코로 32 (오룡동),062-971-1362,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,발렌타인,경상북도 경주시 보문로 465-28 (신평동),054-748-3232,숙박업(생활),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,(주)지티인터내셔널 지엘시티호텔,인천광역시 중구 영종대로196번길 19 (운서동),02-1599-1123,숙박업(생활),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,유한회사 제이휴비앤비,전라북도 전주시 완산구 춘향로 5218-12 (대성동),063-284-1004,한옥체험업,프리미어,2023-03-07,2026-03-06
한국관광 품질인증,(재)재단사무처 (김해한옥체험관 등),경상남도 김해시 왕릉길 40 (봉황동),055-322-4735,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,달,전라북도 군산시 구영3길 21-2 (월명동),,외국인관광도시민박업(G형),,2023-03-07,2026-03-06
한국관광 품질인증,서울크라운88게스트하우스,서울특별시 마포구 성미산로 189 (연남동),02-720-2960,외국인관광도시민박업(G형),,2023-03-07,2026-03-06
한국관광 품질인증,호텔콘트(HOTEL CONT),부산광역시 중구 용두산길 12 (대청동2가),051-244-0088,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,리버틴호텔 주식회사,경상북도 경주시 태종로685번길 23 (노서동),054-620-8787,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,2나잇호텔,전라북도 전주시 덕진구 아중4길 16 (우아동2가),063-241-9594,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,(주)강릉씨티호텔,강원도 강릉시 교동광장로 112 (교동),033-655-8700,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,(주)사과나무,경상남도 창원시 진해구 충장로82번길 15 (송학동),055-552-0385,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,그랜드모텔,충청남도 예산군 예산읍 충서로 1344,041-334-8934,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,와이앤지(Y&G),강원도 강릉시 경포로475번길 41 (안현동),033-644-3344,숙박업(생활),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,다숲펜션,전라북도 무주군 설천면 구천동1로 149,063-322-3379,숙박업(생활),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,홍휘관,충청남도 공주시 백미고을길 6-6 (금성동),041-858-8890,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,한옥혜윰,전라북도 전주시 완산구 향교길 42-5 (교동),,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,고유,전라북도 전주시 완산구 향교길 51-5 (교동),063-284-2588,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,조견당(JOGYONDANG),강원도 영월군 주천면 고가옥길 27,,한옥체험업,스탠더드,2023-04-21,2026-04-20
한국관광 품질인증,생비원,경상북도 고령군 덕곡면 노리2길 28,054-954-1528,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,일몰이아름다운한옥,전라남도 순천시 해룡면 와온1길 45,,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,한옥마을 황토펜션,경기도 양평군 강하면 전의1길 43-6,,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,라자비(raza b),경상북도 포항시 북구 칠성로47번길 12-2 (중앙동),054-242-1007,숙박업(일반),스탠더드,2023-03-07,2026-03-06
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
