콘텐츠아이디,콘텐츠분류명,콘텐츠분류코드,콘텐츠명,지역명,광역코드,시군구명,시군구코드,대표이미지 URL,기사상세정보URL
ebe1f925-8304-4676-a2fb-46bdd1dc074b,맛있는여행,11200,커피와 문화와 맥주가 있는 상수동 골목 이색 카페,서울,1,마포구,13,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8dbe30b0-082e-40d8-ae65-3fae8af80f16,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=ebe1f925-8304-4676-a2fb-46bdd1dc074b
991646ef-45cc-40c3-853e-0a6d956e9081,촬영지여행 ,10800,"영화  촬영지, 경주를 찾아서",경상북도,35,경주시,2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48179bf0-de2a-43ab-946d-2d3b3076959c,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=991646ef-45cc-40c3-853e-0a6d956e9081
e3f8866b-fe3d-483c-ba78-e7c3051d1887,명소여행 ,11400,셀카 찍기 좋은 제주의 숨은 명소,제주도,39,제주시,4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=36f2aa13-f709-4112-a5a2-e4ccd0ed60e9,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=e3f8866b-fe3d-483c-ba78-e7c3051d1887
99604742-fc3b-4266-960a-9c9243309060,액티비티여행  ,10300,"온 가족이 함께 걷는 행복한 숲길, 북한산 우이령길",서울,1,강북구,3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc25ae71-e9b7-4646-9660-14de9fa26ee8,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=99604742-fc3b-4266-960a-9c9243309060
86fbcfa8-5b8a-43d2-a4ae-76adc4d8524d,맛있는여행,11200,"남대문시장 별미 삼총사를 소개합니다! 칼국수, 갈치조림, 꼬리곰탕",서울,1,중구,24,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dafcfbed-1690-4513-9974-c7707723e3c0,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=86fbcfa8-5b8a-43d2-a4ae-76adc4d8524d
9f6e2031-021a-4eff-978f-ee26d309ba17,맛있는여행,11200,"스트레스 한방에 날려줄 불타는 맛, 서울 매운 맛 5선",서울,1,영등포구,20,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce909826-cbf3-4de2-ab22-56e1dcb0bf00,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=9f6e2031-021a-4eff-978f-ee26d309ba17
68d87f48-bf18-4420-983c-ab2128f59481,액티비티여행  ,10300,"묵호항~망상해변, 동해 바닷길을 거닐다 ",강원특별자치도,32,동해시,3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e61fc49d-7c31-47d6-a3a0-620625bd0278,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=68d87f48-bf18-4420-983c-ab2128f59481
3fd4e0e2-41af-4bc9-b0a2-247841e5fb30,자연체험여행,10100,가까운 숲 속 놀이터로 초대합니다! 서울시 유아숲체험장 3선,서울,1,금천구,8,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0ea2ca7f-3b1b-41a7-b4a4-08303598f193,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=3fd4e0e2-41af-4bc9-b0a2-247841e5fb30
d4a6544e-807d-4c3b-a537-fb9b209ced93,맛있는여행,11200,"바람 부는 날, 우리는 삼치 골목으로 간다! 동인천 삼치구이 골목",인천,2,중구,10,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=575f5c32-a030-4dee-8292-24f4bdb94771,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=d4a6544e-807d-4c3b-a537-fb9b209ced93
5d66c0e9-fc8c-49f4-a023-ef2e02a549a4,이색체험여행,10200,편백나무 톱밥 효소로 겨울 건강 챙겨요! 체온을 1℃ 올리면 건강이 두배!,경기도,31,의정부시,25,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d53768c6-3508-4c1d-a5cc-8abb506fba53,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=5d66c0e9-fc8c-49f4-a023-ef2e02a549a4
aec23ae8-fef6-4789-a538-bb1138435db2,자연체험여행,10100,추워도 좋아! 눈썰매와 함께라면!,서울,1,광진구,6,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab2084a7-e945-4910-a99f-a907b191c726,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=aec23ae8-fef6-4789-a538-bb1138435db2
7ec61280-102c-48d1-ba5e-e486b761950e,명소여행 ,11400,"한 박자 쉬어 가고 싶을 때, 합천 힐링 여행",경상남도,36,합천군,21,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=682599c0-de02-46b0-9c4e-9a4d9dc89b33,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=7ec61280-102c-48d1-ba5e-e486b761950e
ea5b5cb9-9175-4e18-9028-fa7431b28115,이색체험여행,10200,"자연과 호흡하며 즐기는 사격?ATV 체험장, 제주 대유랜드",제주도,39,서귀포시,3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3b6cef61-325c-4097-a618-3be46e039e65,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=ea5b5cb9-9175-4e18-9028-fa7431b28115
a19f15b6-c833-4771-aea7-43a1562e6f82,이색체험여행,10200,"다양한 기차 타고 즐기는 기차테마파크, 삼척 하이원추추파크 ",강원특별자치도,32,삼척시,4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e74fee08-07a7-488c-acfa-634ad7a27d03,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=a19f15b6-c833-4771-aea7-43a1562e6f82
39931e79-1c2a-4f4b-b7ee-f34dd87262dc,교육·문화여행 ,10400,박물관이 살아있다! 한성백제박물관,서울,1,송파구,18,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d4ec90ba-f5f9-410a-b8b6-cd5555fa2caf,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=39931e79-1c2a-4f4b-b7ee-f34dd87262dc
7e28437a-7c5b-4884-8ce6-40fa7f48201e,이색체험여행,10200,"우유에서 치즈까지, 홈메이드 치즈 만들기 제주치즈체험하우스",제주도,39,제주시,4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5bfc2b0-d247-4b6b-823a-8f3aea0a6cf9,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=7e28437a-7c5b-4884-8ce6-40fa7f48201e
328c0f52-e587-4d80-b16f-b5fc1655ddfc,액티비티여행  ,10300,"가벼운 걸음으로 즐기는 광명시 종주산행 도덕산, 구름산, 가학산",경기도,31,광명시,4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e689fcb-9f01-45d5-b4b5-e8f7b4a46abf,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=328c0f52-e587-4d80-b16f-b5fc1655ddfc
f938587a-265f-4ad6-986e-d99bec1e9d57,도심풍경여행 ,11100,"호남선 KTX 타고 나두야 간다, 광주 광산구",광주,5,광산구,1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9534e2eb-517b-45d4-af25-e8cf1f92ab12,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=f938587a-265f-4ad6-986e-d99bec1e9d57
ca1f383e-8490-468a-876e-8f7d4cae196d,축제여행 ,10700,"1년을 기다려온 최고의 겨울 축제, 화천산천어축제",강원특별자치도,32,화천군,17,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=41f88abd-9d72-4cb6-b240-8832849f4a63,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=ca1f383e-8490-468a-876e-8f7d4cae196d
3ef2054c-fa98-4b22-a021-7e72c61edfea,교육·문화여행 ,10400,"식민지 관문에서 복합문화공간으로, 문화역서울 284",서울,1,중구,24,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86e75b46-889c-4730-b3a7-a07042551199,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=3ef2054c-fa98-4b22-a021-7e72c61edfea
13297670-c412-4976-b726-88e90aab89d4,맛있는여행,11200,"붉은대게의 모든 것, 게딱지에 비빈 겨울 동해 한입!",강원특별자치도,32,속초시,5,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d12ad66-5a93-4215-8f9d-f56374fc3953,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=13297670-c412-4976-b726-88e90aab89d4
b87e48bd-6342-48bc-a8a3-773030c760ff,맛있는여행,11200,"힘이 불끈! 영암으로 떠나는 원기회복 맛기행, 독천 낙지거리에서 맛보는 갈낙탕·낙지탕탕이·낙지호롱",전라남도,38,영암군,17,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58305907-0257-4192-9430-98c22521eb5b,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=b87e48bd-6342-48bc-a8a3-773030c760ff
bcf104d9-5cda-4b3d-9d87-0a8d55d7d4c2,자연풍경여행 ,11000,해안 드라이브는 보너스! 삼척으로 떠나는 봄날의 유채꽃 여행 ,강원특별자치도,32,삼척시,4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d36037e3-4291-4776-9d11-77febc117a5d,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=bcf104d9-5cda-4b3d-9d87-0a8d55d7d4c2
fbcc4d60-7e90-4437-843b-be16f61d940f,맛있는여행,11200,"보는 재미, 먹는 즐거움 인천 명소에서 만나는 명물 빵",인천,2,중구,10,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d64e40e0-8977-4c85-a3e4-61e28183a7bc,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=fbcc4d60-7e90-4437-843b-be16f61d940f
eb324b0d-4e9b-413b-9e36-b08a1538ae9c,자연풍경여행 ,11000,"이른 봄날, 느긋한 바다 산책 강릉 영진해변",강원특별자치도,32,강릉시,1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0727fca2-3480-4403-9099-17187f1cf4a6,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=eb324b0d-4e9b-413b-9e36-b08a1538ae9c
03af76d1-62cc-4f80-ab7b-d13e186e5e3a,명소여행 ,11400,늦여름 더위 날려줄 납량특집 3선…정선 화암동굴동해.천곡동굴.합천 고스트파크,강원특별자치도,32, ,99,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=488f61ab-9f94-486a-a668-ba5be18f5930,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=03af76d1-62cc-4f80-ab7b-d13e186e5e3a
cea3cbf9-bf2a-4a3b-82b4-7973204ba309,맛있는여행,11200,"비싼 것만 빼면 완벽한 그대,그대 이름은 꽃게장 ",전북특별자치도,37,군산시,2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7031c97f-d03f-4807-8f5c-ee91114d81f9,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=cea3cbf9-bf2a-4a3b-82b4-7973204ba309
d9072603-6838-4517-9bc2-341de715730a,촬영지여행 ,10800,섬진강 마지막 줄배를 품은 곡성으로 떠난 가을 여행,전라남도,38,곡성군,3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1e2e3c29-1753-4184-aa26-615f7b57c3e5,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=d9072603-6838-4517-9bc2-341de715730a
64531423-7076-4709-81a9-d4de73dc39e7,전통·역사여행,10500,"낮에도 좋아! 밤에는 더 좋아! 어느 초여름날의 꿈, 궁궐 나들이",서울,1,종로구,23,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9184f3fc-49aa-40cd-946b-1aed1b7a477b,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=64531423-7076-4709-81a9-d4de73dc39e7
10d33aac-b7b4-4bf6-97ec-00fa1032e9d0,맛있는여행,11200,"아삭아삭 소리까지 맛있는 초록빛 쌈밥의 계절, 경기도에서 소문 자자한 쌈밥집 세 곳",경기도,31,남양주시,9,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b96428c9-428b-419b-961d-f5a58191bd7f,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=10d33aac-b7b4-4bf6-97ec-00fa1032e9d0
49170e70-7ba7-4322-97bd-34efb7f01f83,자연풍경여행 ,11000,"‘벚꽃 엔딩’은 탑사 가는 길목에서, 마이산 벚꽃길",전북특별자치도,37,진안군,14,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dd6bb335-5bb5-43b9-bc84-f64ab52beff1,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=49170e70-7ba7-4322-97bd-34efb7f01f83
494cb51e-5de3-4345-890c-954a2257f086,명소여행 ,11400,"달려라, 남도 한바퀴! 가뿐하게 즐기는 당일치기 남도여행",전라남도,38,담양군,7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b550ca37-1c68-4ac8-b51e-447ba88e6e54,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=494cb51e-5de3-4345-890c-954a2257f086
50835838-222b-4a70-ae79-a0350371ac22,맛있는여행,11200,‘몸보신? 금산 인삼에게 맡겨 주시오!’ 인삼의 역사 따라 떠나는 별미 여행,충청남도,34,금산군,2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=217accf7-5538-4d29-be8f-e3ace64d69c5,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=50835838-222b-4a70-ae79-a0350371ac22
f9777619-7087-4c25-a5c5-d5e6145cb529,액티비티여행  ,10300,"찬란한 춘천의 봄을 알차게 즐기는 방법! 낮에는 스카이워크, 밤에는 호수별빛나라 축제",강원특별자치도,32,춘천시,13,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=721a6f46-f62a-4231-a92d-54b4d2482ff8,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=f9777619-7087-4c25-a5c5-d5e6145cb529
d3c9ed4b-9161-4847-be9f-8a7f5cd79b9b,맛있는여행,11200,영월로 떠나는 삼시세끼 국수여행,강원특별자치도,32,영월군,8,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=489556a3-c97a-41ac-96b2-c06b64cf1b55,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=d3c9ed4b-9161-4847-be9f-8a7f5cd79b9b
2afda09d-8e0d-4254-b9e2-716b3cf56238,명소여행 ,11400,"아시아경기대회 현장에서 선사 유적까지, 인천 서구를 탐하다",인천,2,서구,7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2980fda-467a-46ab-bd65-ace21dd61160,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=2afda09d-8e0d-4254-b9e2-716b3cf56238
420224c6-3206-48f0-8f36-a88c6fcd981a,자연풍경여행 ,11000,시흥 연꽃테마파크(관곡지)와 인천 소래습지생태공원,경기도,31,시흥시,14,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=406263e9-f6dd-4750-af60-b68b6ee5aac3,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=420224c6-3206-48f0-8f36-a88c6fcd981a
3dcd44a9-1f10-44bd-844c-ed0b96e9066b,전통·역사여행,10500,"용이 머물다 돌아간 곳, 이성계를 찾아 떠나는 의정부 여행",경기도,31,의정부시,25,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e889a58e-d97f-4aee-b3d8-2e7d647d68f1,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=3dcd44a9-1f10-44bd-844c-ed0b96e9066b
24a2c2a4-33d3-4833-93de-c62765310ba4,맛있는여행,11200,푸짐함에 반하고 그 맛에 두 번 반하는 원주전통시장의 맛집을 찾아 ,강원특별자치도,32,원주시,9,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2801228a-8a51-487d-a4c9-17b1d8fb7f14,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=24a2c2a4-33d3-4833-93de-c62765310ba4
de8330df-272b-476c-9240-9fb2fbf8ca06,맛있는여행,11200,"동대문시장 별미 오형제를 소개합니다! 곱창, 닭한마리, 생선구이, 육회에 녹두빈대떡까지",서울,1,종로구,23,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba779b33-76cb-4bdb-94f2-68f324f2361b,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=de8330df-272b-476c-9240-9fb2fbf8ca06
85c6498a-6f26-4869-9415-f855bc25f1d8,축제여행 ,10700,제주 해녀축제 & 혼인지축제,제주도,39,서귀포시,3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=62207d89-e376-4353-9bcb-db55df80aa08,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=85c6498a-6f26-4869-9415-f855bc25f1d8
03c0a3c8-82c9-4fe8-aeab-adf5e613822b,명소여행 ,11400,"경포대냐 정동진이냐, 그것이 문제로다! ",강원특별자치도,32,강릉시,1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a2842fb-812f-44c7-a5c7-710d7d030b32,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=03c0a3c8-82c9-4fe8-aeab-adf5e613822b
d770a4a3-2860-4144-bb3a-691d136f8195,축제여행 ,10700,"눈 덮인 수목원 걸으며 만나는 겨울 동화, 아침고요수목원 오색별빛정원전",경기도,31,가평군,1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5e3a0992-b5c7-4c9f-9cd9-64351c59b457,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=d770a4a3-2860-4144-bb3a-691d136f8195
f2dae8c0-9fb8-4103-970c-8f45fba9493e,교육·문화여행 ,10400,"좋은 동화 한 권은 백 번 설교보다 낫다, 안동 권정생 동화나라",경상북도,35,안동시,11,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=db4bca1c-ac62-4203-a8c8-f68778c25990,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=f2dae8c0-9fb8-4103-970c-8f45fba9493e
beb9c595-cdee-4c94-84ca-7ea1f193be24,자연풍경여행 ,11000,푸른 파도 넘실대는 삼척의 겨울바다를 안고 달리다,강원특별자치도,32,삼척시,4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37f3959f-b37b-41b7-af88-5b8bfa90cc73,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=beb9c595-cdee-4c94-84ca-7ea1f193be24
d1df4cd9-dd4f-4f54-aeb4-1233ccdaf74d,맛있는여행,11200,"대한민국 속 작은 세계, 안산 다문화특구에서 즐기는 세계여행",경기도,31,안산시,15,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8b85bf04-1a8e-4a56-8c96-56644b90870b,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=d1df4cd9-dd4f-4f54-aeb4-1233ccdaf74d
faed3534-31e2-4a65-a46d-0ef540e4d1a7,자연풍경여행 ,11000,겨울산과 계곡을 만나는 정선 드라이브 코스 3선 ,강원특별자치도,32,정선군,11,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3b85939f-b40c-4083-b9ac-b684cf7b1972,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=faed3534-31e2-4a65-a46d-0ef540e4d1a7
3f0a6236-a1fb-4960-9ed9-9880c1c0c6c2,자연풍경여행 ,11000,"봄처녀도 울고 갈 토종 꽃의 아름다움, 정선 동강할미꽃",강원특별자치도,32,정선군,11,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=69e7f4f4-1773-44ab-9d1d-a828b95832d0,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=3f0a6236-a1fb-4960-9ed9-9880c1c0c6c2
e7e6bbbf-71a8-44e9-b44c-cb916a4276a1,이색체험여행,10200,"엄마, 아빠 손잡고 떠난 서해금빛열차 체험기, 온돌마루에 누워 홍성으로! 한나절 가뿐한 홍성여행은 보너스!",충청남도,34,홍성군,15,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=338a2120-e598-4929-a6dc-37659a0f146b,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=e7e6bbbf-71a8-44e9-b44c-cb916a4276a1
a0c041a0-3b54-4306-a196-44f3773005fa,전통·역사여행,10500,남한강 따라 꽃피운 충주의 역사를 만나다,충청북도,33,충주시,11,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f0f15689-21bc-4f81-b613-a8d3eb5036fe,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=a0c041a0-3b54-4306-a196-44f3773005fa
3b54d98d-a194-4179-b88f-3be0d420e13c,전통·역사여행,10500,"신라시대 일본과 중국 잇던 해상교통의 요충지, 청해진 완도 한바퀴 ",전라남도,38,완도군,18,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0bb507a6-b0b0-4923-a660-ac377c237fcb,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=3b54d98d-a194-4179-b88f-3be0d420e13c
bdd34273-b529-448c-b53b-2cdc08a938b5,도심풍경여행 ,11100,방배사이길로 떠나는 도심 골목길 탐방여행,서울,1,서초구,15,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=15a0617a-a521-43aa-a6d0-3cc4ff14174c,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=bdd34273-b529-448c-b53b-2cdc08a938b5
f58f81a2-7931-491f-a5fb-d6b6a95caf62,축제여행 ,10700,"茶향기 가득한 하동 야생차문화축제, 봄꽃 다음 일렁이는 초록 물결, ‘왕의 녹차’의 유혹",경상남도,36,하동군,18,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6c0c496-3fc4-40e2-ad46-cf482104f7c9,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=f58f81a2-7931-491f-a5fb-d6b6a95caf62
2c336e7a-02c7-4616-b233-a98bef63553b,자연풍경여행 ,11000,"숲과 역사 속에서 만나는 봄, 서산 용현자연휴양림",충청남도,34,서산시,7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b13b1d04-6cb6-43ea-88e2-ecf282f77f1b,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=2c336e7a-02c7-4616-b233-a98bef63553b
